date,daily,male,female,others,Total dose 1,Total dose 2,Total Precuation dose,covishield,covaxin,sputnik,zycov,corbevax,covovax,gemcovacc,gemcovacc_om,total
2021-03-08,9378,45492,54249,6,0,0,0,94172,5567,0,0,0,0,0,0,99747
2021-03-09,8656,49305,59092,6,80306,28097,0,102821,5574,0,0,0,0,0,0,108403
2021-03-10,10116,53557,64956,6,87373,31146,0,112937,5574,0,0,0,0,0,0,118519
2021-03-11,8755,57494,69771,9,94008,33266,0,121691,5574,0,0,0,0,0,0,127274
2021-03-12,10645,62388,75521,10,102346,35573,0,132243,5667,0,0,0,0,0,0,137919
2021-03-13,9498,66887,80520,10,110318,37099,0,141296,6112,0,0,0,0,0,0,147417
2021-03-14,908,67317,80998,10,111166,37159,0,142204,6112,0,0,0,0,0,0,148325
2021-03-15,10746,72592,86467,12,120198,38873,0,152282,6780,0,0,0,0,0,0,159071
2021-03-16,11480,72795,82362,14,155171,40228,0,187798,7601,0,0,0,0,0,0,155171
2021-03-17,14559,106458,113647,29,220134,41257,0,253038,8353,0,0,0,0,0,0,220134
2021-03-18,15260,113647,120972,29,234648,42098,0,267601,9145,0,0,0,0,0,0,234648
2021-03-19,14388,120221,128222,31,248474,42757,0,281458,9773,0,0,0,0,0,0,248474
2021-03-20,15049,126995,136230,33,263258,43389,0,296162,10485,0,0,0,0,0,0,263258
2021-03-21,780,127473,136709,33,264215,43406,0,297128,10493,0,0,0,0,0,0,264215
2021-03-22,14172,133497,143658,34,277189,44670,0,309915,11944,0,0,0,0,0,0,277189
2021-03-23,12704,139416,150318,35,289769,46013,0,322190,13592,0,0,0,0,0,0,289769
2021-03-24,12884,145290,156889,39,302218,46491,0,334736,13973,0,0,0,0,0,0,302218
2021-03-25,14807,152319,164782,42,317143,46834,0,349642,14335,0,0,0,0,0,0,317143
2021-03-26,14128,158498,172415,43,330956,47181,0,363494,14643,0,0,0,0,0,0,330956
2021-03-27,15043,164881,180841,45,345767,47501,0,378276,14992,0,0,0,0,0,0,345767
2021-03-28,900,165314,181355,46,346715,47514,0,379236,14993,0,0,0,0,0,0,346715
2021-03-29,19559,173437,192540,54,366031,47828,0,398574,15285,0,0,0,0,0,0,366031
2021-03-30,18157,180735,202914,55,383704,48378,0,416505,15577,0,0,0,0,0,0,383704
2021-03-31,15004,186722,211434,55,398211,48949,0,431264,15896,0,0,0,0,0,0,398211
2021-04-01,13648,192208,219342,56,411606,49313,0,444879,16040,0,0,0,0,0,0,411606
2021-04-02,5068,195060,223059,57,418176,49717,0,451557,16336,0,0,0,0,0,0,418176
2021-04-03,14622,200660,231753,57,432470,50541,0,466577,16434,0,0,0,0,0,0,432470
2021-04-04,1909,203453,235829,57,439339,51001,0,473615,16725,0,0,0,0,0,0,439339
2021-04-05,13118,208241,243556,58,451855,51906,0,486868,16893,0,0,0,0,0,0,451855
2021-04-06,1127,209887,245751,58,455696,52230,0,490853,17073,0,0,0,0,0,0,455696
2021-04-07,13613,215695,254714,59,470468,53580,0,506624,17424,0,0,0,0,0,0,470468
2021-04-08,18542,222906,265793,62,488761,55932,0,527043,17650,0,0,0,0,0,0,488761
2021-04-09,21948,231005,277238,62,508305,58472,0,548848,17929,0,0,0,0,0,0,508305
2021-04-10,29327,242175,292597,65,534837,61480,0,578002,18315,0,0,0,0,0,0,534837
2021-04-11,13082,248061,299395,65,547521,62530,0,591428,18623,0,0,0,0,0,0,547521
2021-04-12,34475,260672,317746,68,578486,66270,0,624497,20259,0,0,0,0,0,0,578486
2021-04-13,17187,267173,325811,68,593052,69126,0,640626,21552,0,0,0,0,0,0,593052
